Bus No.,Source,Destination
605,Mori Gate Terminal,Vasant Kunj C-9
610,Wazirpur Depot,R.K. Puram Sector 1
610A,Anand Parbat,R.K. Puram Sector 1
611,Mayur Vihar Ph-III,Dhaula Kuan
611Cluster,Mayur Vihar Phase III Terminal / Paper Market,ARSD College (Dhaula Kuan)
611A,Mayur Vihar Ph-II,Subhash Nagar Terminal
611BCluster,Mayur Vihar Phase III Terminal / Paper Market,R.K. Puram Sector 1
615,Minto Road Terminal,Poorvanchal Hostel
615A,Mithapur,Poorvanchal Hostel
620,Shivaji Stadium,Hauz Khas Terminal
621,Minto Road Terminal,Poorvanchal Hostel
622,New Delhi Railway Station Gate 2,Krishna Nagar
623,Shahadra Terminal,C.P.W.D. Colony Vasant Vihar
623Cluster,Shahadra Terminal,Shahdara (Shyam Lal College)
623A,Anand Vihar ISBT (Viveka Nand ISBT),C.P.W.D. Colony Vasant Vihar
623B,Shahadra Terminal,Vasant Kunj C-9
623EXTCluster,Dilshad Garden Depot (New Seemapuri),C.P.W.D. Colony Vasant Vihar
624A,Munirka,Anand Vihar ISBT (Viveka Nand ISBT)
624ACLCluster,Munirka,Anand Vihar ISBT (Viveka Nand ISBT)
624ALinkSTLCluster,Munirka,J.L.N. Stadium (Sunhari Pullah Nallah Parking)
624BLnkSTLCluster,Anand Vihar ISBT (Viveka Nand ISBT),J.L.N. Stadium (Sunhari Pullah Nallah Parking)
629,Mehrauli Terminal,Khyala JJ Colony
630,Kendriya Terminal,Nanakpura Community Center
631,R.K. Puram Sector 1,Haider Pur Village
632,Mori Gate Terminal,Nanakpura Community Center
680,Kendriya Terminal,Ambedkar Nagar Sector 4 (Virat Cinema)
680 Extn.,Hari Nagar Clock Tower,Hamdard Nagar
701,Narela Terminal,Najafgarh
701A,Singhu Border,Qutubgarh Border
704,Vivek Vihar,Janak Puri B-1
706,Mori Gate Terminal,Rajokari Harijan Basti
707,Narela Terminal,Najafgarh Terminal
708,Narela Terminal,Najafgarh
708A,Lampur Border,Peera Garhi
711,Uttam Nagar Terminal,Sarai Kale Khan ISBT
711Cluster,Uttam Nagar Terminal,Sarai Kale Khan ISBT
711A,Uttam Nagar Terminal,Sarai Kale Khan ISBT
714,Badarpur Border,Rajokari Harijan Basti
715,Madhu Vihar,Mehrauli Terminal
716,Shivaji Stadium,Dhool Siras
717 (Down),Badarpur Border,Shahbad Mohd. Pur
717 (Up),Badarpur Border,Shahbad Mohd. Pur
717A (Down),Badarpur Border,Kapashera Border
717A (Up),Badarpur Border,Kapashera Border
717ACluster,Badarpur Border,Kapashera Border
717B,Badarpur Border,IGI Airport TerminalII
718,Uttam Nagar Terminal,Kapashera Border
719 (Down),J.L.N. Stadium (C.G.O. Complex),Pandwala Village
719 (Up),J.L.N. Stadium (C.G.O. Complex),Pandwala Village
720,Shahadra Terminal,Janak Puri B-1
721,ISBT / Kashmiri Gate,Palam Village / Mangla Puri
721Cluster,ISBT / Kashmiri Gate,Mangla Puri Terminal
722 (Down),Ambedkar Stadium Terminal,Badu Sarai
724,Uttam Nagar Terminal,Nehru Place Terminal
724Cluster,Uttam Nagar Terminal,Nehru Place Terminal
