service_id,route_id,trip_id,direction_id,trip_headsign,block_id
SA,GREEN,SA_95905,0,JBS Parade Ground,SA_20201
SA,GREEN,SA_95906,1,Mahatma Gandhi Bus Station,SA_20201
SA,GREEN,SA_97524,0,JBS Parade Ground,SA_20301
SA,GREEN,SA_97525,1,Mahatma Gandhi Bus Station,SA_20301
SA,GREEN,SA_97526,0,JBS Parade Ground,SA_20101
SA,GREEN,SA_97527,1,Mahatma Gandhi Bus Station,SA_20101
SA,GREEN,SA_97528,0,JBS Parade Ground,SA_20201
SA,GREEN,SA_97529,1,Mahatma Gandhi Bus Station,SA_20201
SA,GREEN,SA_97530,0,JBS Parade Ground,SA_20301
SA,GREEN,SA_97531,1,Mahatma Gandhi Bus Station,SA_20301
SA,GREEN,SA_97532,0,JBS Parade Ground,SA_20101
SA,GREEN,SA_97533,1,Mahatma Gandhi Bus Station,SA_20101
SA,GREEN,SA_97534,0,JBS Parade Ground,SA_20201
SA,GREEN,SA_97535,1,Mahatma Gandhi Bus Station,SA_20201
SA,GREEN,SA_97536,0,JBS Parade Ground,SA_20301
SA,GREEN,SA_97537,1,Mahatma Gandhi Bus Station,SA_20301
SA,GREEN,SA_97538,0,JBS Parade Ground,SA_20101
SA,GREEN,SA_97539,1,Mahatma Gandhi Bus Station,SA_20101
SA,GREEN,SA_97540,0,JBS Parade Ground,SA_20201
SA,GREEN,SA_97541,1,Mahatma Gandhi Bus Station,SA_20201
SA,GREEN,SA_97542,0,JBS Parade Ground,SA_20301
SA,GREEN,SA_97543,1,Mahatma Gandhi Bus Station,SA_20301
SA,GREEN,SA_97544,0,JBS Parade Ground,SA_20101
SA,GREEN,SA_97545,1,Mahatma Gandhi Bus Station,SA_20101
SA,GREEN,SA_97546,0,JBS Parade Ground,SA_20201
SA,GREEN,SA_97547,1,Mahatma Gandhi Bus Station,SA_20201
SA,GREEN,SA_97548,0,JBS Parade Ground,SA_20301
SA,GREEN,SA_97549,1,Mahatma Gandhi Bus Station,SA_20301
SA,GREEN,SA_97550,0,JBS Parade Ground,SA_20101
SA,GREEN,SA_97551,1,Mahatma Gandhi Bus Station,SA_20101
SA,GREEN,SA_97552,0,JBS Parade Ground,SA_20201
SA,GREEN,SA_97553,1,Mahatma Gandhi Bus Station,SA_20201
SA,GREEN,SA_97554,0,JBS Parade Ground,SA_20301
SA,GREEN,SA_97555,1,Mahatma Gandhi Bus Station,SA_20301
SA,GREEN,SA_97556,0,JBS Parade Ground,SA_20101
SA,GREEN,SA_97557,1,Mahatma Gandhi Bus Station,SA_20101
SA,GREEN,SA_97558,0,JBS Parade Ground,SA_20201
SA,GREEN,SA_97559,1,Mahatma Gandhi Bus Station,SA_20201
SA,GREEN,SA_97560,0,JBS Parade Ground,SA_20301
SA,GREEN,SA_97561,1,Mahatma Gandhi Bus Station,SA_20301
SA,GREEN,SA_97562,0,JBS Parade Ground,SA_20101
SA,GREEN,SA_97563,1,Mahatma Gandhi Bus Station,SA_20101
SA,GREEN,SA_97564,0,JBS Parade Ground,SA_20201
SA,GREEN,SA_97565,1,Mahatma Gandhi Bus Station,SA_20201
SA,GREEN,SA_97566,0,JBS Parade Ground,SA_20301
SA,GREEN,SA_97567,1,Mahatma Gandhi Bus Station,SA_20301
SA,GREEN,SA_97568,0,JBS Parade Ground,SA_20101
SA,GREEN,SA_97569,1,Mahatma Gandhi Bus Station,SA_20101
SA,GREEN,SA_97570,0,JBS Parade Ground,SA_20201
SA,GREEN,SA_97571,1,Mahatma Gandhi Bus Station,SA_20201
SA,GREEN,SA_97572,0,JBS Parade Ground,SA_20301
SA,GREEN,SA_97573,1,Mahatma Gandhi Bus Station,SA_20301
SA,GREEN,SA_97574,0,JBS Parade Ground,SA_20101
